time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
614.5,333.72,0.9284794313904163,NaN
614.5,334.02,0.9367133969459462,NaN
614.5,334.32,0.9508736027098261,NaN
614.5,334.63,0.9513266616107734,NaN
614.5,334.93,0.94465959921159,NaN
614.5,335.23,0.9385451178572701,NaN
614.5,335.54,0.9222220890477337,NaN
614.5,335.85,0.8914636358939609,NaN
614.5,336.15,0.8631988259887005,NaN
614.5,336.46,0.8480047251032081,NaN
614.5,336.77,0.8409752874477839,NaN
614.5,337.08,0.8364071883757356,NaN
614.5,337.39,0.8485355000968504,NaN
614.5,337.71,0.8735366645396934,NaN
614.5,338.02,0.8902088429632431,NaN
614.5,338.33,0.9061896535666217,NaN
614.5,338.65,0.9310293422755369,NaN
614.5,338.96,0.9523217663641721,NaN
614.5,339.28,0.967262577043422,NaN
614.5,339.60,0.9797451357231561,NaN
614.5,339.92,0.9926522075823225,NaN
614.5,340.24,0.9948512877011858,NaN
614.5,340.56,0.9900899389278098,NaN
614.5,340.88,0.9824140114806648,NaN
614.5,341.21,0.9764278430532529,NaN
614.5,341.53,0.974974575301351,NaN
614.5,341.86,0.9776970170357535,NaN
614.5,342.18,0.9854809217369032,NaN
614.5,342.51,0.9866568088661224,NaN
614.5,342.84,0.975605842579891,NaN
614.5,343.17,0.9581306470729871,NaN
614.5,343.50,0.9375388409260061,NaN
614.5,343.83,0.9105181194159576,NaN
614.5,344.17,0.8894844976922069,NaN
614.5,344.50,0.8785426724204937,NaN
614.5,344.84,0.8841625718220538,NaN
614.5,345.17,0.8970299631590789,NaN
614.5,345.51,0.9136266754725579,NaN
614.5,345.85,0.9271919980466433,NaN
614.5,346.19,0.9334786888313606,NaN
614.5,346.53,0.9408071611514113,NaN
614.5,346.88,0.9398060161173059,NaN
614.5,347.22,0.935007990498874,NaN
614.5,347.56,0.9264178900839302,NaN
614.5,347.91,0.919349482750792,NaN
614.5,348.26,0.9185234529554993,NaN
614.5,348.60,0.9204810609555923,NaN
614.5,348.95,0.928294669913398,NaN
614.5,349.30,0.9416985476328397,NaN
614.5,349.66,0.9606983321770365,NaN
614.5,350.01,0.9837518386173763,NaN
614.5,350.36,1.0059486476263744,NaN
614.5,350.72,1.013903513194597,NaN
614.5,351.08,1.0078889652975853,NaN
614.5,351.43,1.0019578253621706,NaN
614.5,351.79,0.9945626298950384,NaN
614.5,352.15,0.9876832606034176,NaN
614.5,352.52,0.9838594441310882,NaN
614.5,352.88,0.9974853911599195,NaN
614.5,353.24,1.0273192015630195,NaN
614.5,353.61,1.0548367295124454,NaN
614.5,353.98,1.0757298524862073,NaN
614.5,354.34,1.0939203026476192,NaN
614.5,354.71,1.1028878703805676,NaN
614.5,355.08,1.0909488743196392,NaN
614.5,355.46,1.0615354402031594,NaN
614.5,355.83,1.0279774762081084,NaN
614.5,356.20,0.9910225367501746,NaN
614.5,356.58,0.9419676603053684,NaN
614.5,356.96,0.8889664944746734,NaN
614.5,357.34,0.8517726423592753,NaN
614.5,357.72,0.8320351434605793,NaN
614.5,358.10,0.8286695925644826,NaN
614.5,358.48,0.839918213208448,NaN
614.5,358.86,0.8728414742309663,NaN
614.5,359.25,0.9136336944699841,NaN
614.5,359.64,0.951095557882206,NaN
614.5,360.03,0.9723206108912099,NaN
614.5,360.42,0.9764964242263066,NaN
614.5,360.81,0.9768276996442847,NaN
614.5,361.20,0.9755707525491737,NaN
614.5,361.59,0.9705383156883032,NaN
614.5,361.99,0.9700601766431218,NaN
614.5,362.39,0.985709091937107,NaN
614.5,362.79,1.006337050418871,NaN
614.5,363.19,1.0169510338276622,NaN
614.5,363.59,1.027590183156634,NaN
614.5,363.99,1.0508774302698662,NaN
614.5,364.39,1.0757096321064772,NaN
614.5,364.80,1.0969487483298668,NaN
614.5,365.21,1.1286475614895517,NaN
614.5,365.62,1.1695733615843955,NaN
614.5,366.03,1.1981907263568385,NaN
614.5,366.44,1.2122837809709726,NaN
614.5,366.85,1.2139379842122204,NaN
614.5,367.27,1.2139735212062963,NaN
614.5,367.69,1.2069114617263443,NaN
614.5,368.10,1.201623209092455,NaN
614.5,368.52,1.1981336189583374,NaN
614.5,368.95,1.1973375134990891,NaN
614.5,369.37,1.209090479328191,NaN
614.5,369.79,1.2184008920362233,NaN
614.5,370.22,1.2106739934713637,NaN
614.5,370.65,1.1994042337610002,NaN
614.5,371.08,1.188734961599515,NaN
614.5,371.51,1.164634586669582,NaN
614.5,371.94,1.1267171510755605,NaN
614.5,372.38,1.0872689500230241,NaN
614.5,372.81,1.049492127903271,NaN
614.5,373.25,1.0179044054607291,NaN
614.5,373.69,0.9921065162820843,NaN
614.5,374.13,0.9818430542624206,NaN
614.5,374.58,0.9883561307070214,NaN
